symbol	status	last_close_price	sma_200	atr_14	rsi_3	3DLow	atr_close_ratio
LNC	TBO	28.28	25.31	0.889	6.13	28.21	0.0314
MC	TBO	52.05	48.93	1.5521	9.46	51.67	0.0298
CSTM	TBO	21.15	18.34	0.5759	6.88	21.0	0.0272
CMC	TBO	55.2	50.95	1.3497	8.63	55.01	0.0245
WES	TBO	34.54	28.3	0.7534	6.16	34.51	0.0218
NUE	TBO	194.53	169.28	4.175	9.48	193.02	0.0215
