symbol	status	last_close_price	sma_200	atr_14	rsi_3	3DLow	atr_close_ratio
AVDL	TBO	16.25	13.78	1.0106	8.5	15.65	0.0622
RRR	TBO	50.22	48.7	2.0401	9.45	48.17	0.0406
